text,label,pred_label,tier
おっおー！こんばんは♪,Positive,Positive,層1
傾聴できる人はええんやで,Positive,Positive,層1
まぁ、イケメンならほどほど行けるけどねー,Neutral,Neutral,層1
自衛隊発動権は、総理だろ、,Neutral,Neutral,層1
あっちとは絡まないほうがいい,Negative,Neutral,層1
皇帝ペンギンが好きです:virtualhug:,Neutral,Neutral,層1
中間層多いな,Neutral,Neutral,層1
負けるが勝ちってやつ,Neutral,Neutral,層1
川上さんはくちゃくちゃしてた,Neutral,Neutral,層1
親の為に生きてる訳じゃないよ,Neutral,Neutral,層1
昨日休んだしね,Neutral,Neutral,層1
顔は変わり続ける…,Negative,Neutral,層1
言われた,Neutral,Negative,層1
タックル議員,Negative,Negative,層1
カクカク,Neutral,Negative,層1
思い浮かばないくらいにはいないよw,Positive,Negative,層1
大使といったら地獄大使,Negative,Negative,層1
おじさんおばさんだろ,Negative,Negative,層1
バンダナ…,Negative,Negative,層1
次の就活にやや響く,Neutral,Negative,層1
フランスは事実婚が多いよ,Neutral,Negative,層1
謝るひろゆき,Neutral,Negative,層1
いいね。その考え方,Positive,Positive,層2
今のままでオッケーだよー,Positive,Positive,層2
ホリエモン、うたも歌ってるよね笑,Positive,Positive,層2
役場職員のままが良いよ～,Positive,Positive,層2
自分で事業やった方が楽に年収いくやろ,Neutral,Positive,層2
こんにちは。以前YUGOチャンネルのイタリアの回で、由佳さんがひろゆきさんの事を暴露してるの超面白かったです。ひろゆきさん最近人生の無駄な時間過ごしてますか？,Positive,Positive,層2
ひろゆきTube毎日見れて幸せでーす:red_heart::red_heart::red_heart::red_heart::red_heart:,Positive,Positive,層2
元々、やりたいことやってる感w,Positive,Positive,層2
ひろゆき常識人だよなｗ,Positive,Positive,層2
両方話せばええやん,Neutral,Positive,層2
卒業まで待つしかない,Neutral,Neutral,層2
堀江さんに 機会があれば謝っといてほしいと言ってましたね,Neutral,Neutral,層2
４回休職して閑職へ異動になりました。前向きに生きる方法を教えてください,Neutral,Neutral,層2
激しく同意,Positive,Neutral,層2
牛乳てそんなに飲みません,Neutral,Neutral,層2
ASDの息子25歳国立大学中退今は通信大学4年生です自分でプログラミングを勉強してる様ですが社会に出るのは難しいですどの様に見守り1人で自立出来る様にしたらよいでしょうか,Neutral,Neutral,層2
目標を年収にするならなぁ…。,Neutral,Neutral,層2
:face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes::face-fuchsia-wide-eyes:ひろゆきは頑張り屋さん。,Positive,Neutral,層2
わぁ〜始まったばかり？？,Neutral,Neutral,層2
