セグメント,開始時刻,終了時刻,長さ(秒),字幕数,日本語BERT_字幕_Positive(%),日本語BERT_字幕_Neutral(%),日本語BERT_字幕_Negative(%),日本語BERT_コメント_Positive(%),日本語BERT_コメント_Neutral(%),日本語BERT_コメント_Negative(%),多言語XLM-R_字幕_Positive(%),多言語XLM-R_字幕_Neutral(%),多言語XLM-R_字幕_Negative(%),多言語XLM-R_コメント_Positive(%),多言語XLM-R_コメント_Neutral(%),多言語XLM-R_コメント_Negative(%),コメント数
1,0:01:49,0:03:44,115,44,0.0,57.14,42.86,21.48,56.3,22.22,14.29,42.86,42.86,40.0,35.56,24.44,135
2,0:03:46,0:06:00,134,55,0.0,50.0,50.0,12.5,51.92,35.58,0.0,0.0,100.0,19.23,35.58,45.19,104
3,0:06:56,0:08:47,111,44,0.0,0.0,0.0,8.64,59.26,32.1,0.0,0.0,0.0,25.93,39.51,34.57,81
4,0:08:47,0:09:51,64,25,0.0,0.0,0.0,6.0,48.0,46.0,0.0,0.0,0.0,22.0,46.0,32.0,50
5,0:10:07,0:11:49,102,40,0.0,66.67,33.33,27.16,55.56,17.28,33.33,33.33,33.33,49.38,38.27,12.35,81
6,0:11:50,0:14:22,152,60,0.0,66.67,33.33,11.61,62.5,25.89,0.0,33.33,66.67,28.57,42.86,28.57,112
7,0:14:24,0:15:30,66,29,0.0,0.0,0.0,11.32,54.72,33.96,0.0,0.0,0.0,20.75,50.94,28.3,53
8,0:16:10,0:17:36,86,27,0.0,0.0,0.0,9.64,61.45,28.92,0.0,0.0,0.0,20.48,53.01,26.51,83
9,0:17:36,0:18:38,62,27,0.0,0.0,0.0,11.86,61.02,27.12,0.0,0.0,0.0,30.51,40.68,28.81,59
10,0:20:53,0:21:57,64,28,0.0,0.0,0.0,14.08,43.66,42.25,0.0,0.0,0.0,21.13,32.39,46.48,71
11,0:23:47,0:26:08,141,55,0.0,75.0,25.0,10.07,51.68,38.26,25.0,25.0,50.0,23.49,36.24,40.27,149
12,0:28:34,0:32:21,227,83,0.0,80.0,20.0,9.94,53.59,36.46,0.0,80.0,20.0,18.78,38.67,42.54,181
13,0:32:41,0:33:48,67,29,0.0,0.0,0.0,13.56,62.71,23.73,0.0,0.0,0.0,25.42,33.9,40.68,59
14,0:34:30,0:36:42,132,57,0.0,75.0,25.0,20.0,47.83,32.17,25.0,25.0,50.0,29.57,40.0,30.43,115
15,0:39:13,0:40:37,84,31,0.0,0.0,0.0,3.85,58.97,37.18,0.0,0.0,0.0,23.08,37.18,39.74,78
16,0:45:51,0:47:08,77,29,0.0,0.0,0.0,13.24,54.41,32.35,0.0,0.0,0.0,26.47,44.12,29.41,68
17,0:52:30,0:54:47,137,51,0.0,66.67,33.33,11.35,57.45,31.21,33.33,33.33,33.33,21.99,49.65,28.37,141
18,0:55:17,0:57:42,145,46,0.0,0.0,0.0,14.46,59.04,26.51,0.0,0.0,0.0,29.52,37.95,32.53,166
19,0:57:44,0:58:44,60,21,0.0,0.0,0.0,11.88,69.31,18.81,0.0,0.0,0.0,25.74,55.45,18.81,101
20,1:00:35,1:03:03,148,58,0.0,66.67,33.33,7.94,64.29,27.78,16.67,33.33,50.0,23.81,40.48,35.71,126
21,1:03:06,1:04:24,78,31,0.0,0.0,0.0,7.46,58.21,34.33,0.0,0.0,0.0,11.94,40.3,47.76,67
22,1:04:47,1:06:43,116,45,0.0,100.0,0.0,10.13,54.43,35.44,50.0,50.0,0.0,15.19,44.3,40.51,79
23,1:10:12,1:14:51,279,102,0.0,62.5,37.5,9.97,42.86,47.18,0.0,62.5,37.5,19.93,34.88,45.18,301
